Name,Assembly Code,MF_Number
Amusement Park Rides,F105050,13 14 23
Amusement Park Structures and Equipment,F105050,13 14 00
Anaerobic Processes Decontamination,G105025,02 54 16
Anchor Tiebacks,A903010,31 51 00
"Anchors, Foundation",A102040,31 68 00
Animal Containment,F105070,13 19 00
Antenna Towers,G501010,33 81 16
Antifreeze Sprinkler Systems,D401010,21 13 36
Anti-Microbial Coatings,,23 05 63
Anti-Microbial Coatings Cooling System,D303090,23 05 63
Anti-Microbial Coatings Distribution Systems,D305090,23 05 63
Anti-Microbial Coatings Heating System,D302090,23 05 63
Anti-Microbial Coatings Ventilation,D306090,23 05 63
Anti-Microbial Ultraviolet Emitters,,23 05 66
Anti-Microbial Ultraviolet Emitters Cooling System,D303090,23 05 66
Anti-Microbial Ultraviolet Emitters Distribution System,D305090,23 05 66
Anti-Microbial Ultraviolet Emitters Heating System,D306090,23 05 66
Anti-Microbial Ultraviolet Emitters Ventilation,D302090,23 05 66
Apartment Building Heating - Fin Tube Radiation,D3010510,
Application,Z107020,01 73 13
Application Development,D601060,27 26 19
Application Suites,D601050,27 25 16
Appurtenances Exterior Wall,B2080,
Appurtenances Parking Lot,G202040,32 17 00
Appurtenances Pedestrian Pavement,G203040,32 17 00
Appurtenances Roadway,G201040,32 17 00
Appurtenances Roof,B3020,
Aquariums,F105040,13 13 00
Architects,203020,
Architecturally Integrated Audio-Video Equipment,D603010,27 41 13
Area Drains,D203030,22 14 26.13
Area Drains Site Storm Drainage,G303040,33 44 13
Area Lighting,G405010,26 56 23
Arena Football Boards,F106030,13 28 19
Art Fixed,E201010,12 10 00
Art Glass,E201010,12 17 00
Art Movable,E205010,12 10 00
Artificial Plants,,12 92 13
Artificial Plants Fixed Interior,E201090,12 92 13
Artificial Plants Movable Interior,E205090,12 92 13
Arts and Crafts Equipment,E104010,11 95 00
Asbestos,F201020,
Asbestos Abatement,F201020,02 82 13
Asbestos Remediation,F201020,02 82 00
Asphalt Unit Pavement,,32 14 23
Assessment,104030,02 20 00
Assessment Existing Conditions,104030,02 20 00
Assessment Existing Material,104030,02 25 00
Assessment Hazardous Material,104030,02 26 00
Assistive Listening Systems,D606010,27 51 26
Athletic and Recreational Court Walls,F106050,13 28 33
Athletic and Recreational Special Construction,F1060,13 28 00
Athletic Areas,G205010,
Athletic Court Fencing,G205010,
"Athletic Equipment, Exterior",G205010,
"Athletic Equipment, Interior",E107050,11 66 00
Athletic Field Equipment,G205010,11 68 33
Athletic Flooring,C203080,
Athletic Rooms,F101050,13 24 66
Athletic Surfaces,G205010,32 18 00
"Athletic Surfaces, Demountable",F106060,13 28 66
"Athletic, Recreational, and Playfield Areas",G2050,
"Athletic, Recreational, and Therapeutic Equipment, EACH",E1090810,
"Athletic, Recreational, and Therapeutic Equipment, SF",E1090820,
Attendant Booths,G206040,
Attendant Booths Manufactured,G206040,
Attendant Booths Site Constructed,G206040,
Attipulgite Slurry Walls,A903070,31 56 16
Attorneys,203060,
Audience Seating Fixed,E201070,12 61 00
Audience Seating Portable,E205060,12 62 00
Audio Visual Equipment,E104010,11 52 00
Audio Visual Furniture,E205030,12 56 52
Audio-Video Accessories,D603010,27 41 23
Audio-Video Communications,D6030,27 40 00
Audio-Video Conferencing,D603010,27 41 43
Audio-Video Devices,D601030,27 24 23
Audio-Video Systems,D603010,27 41 00
Automatic Banking Systems,E103025,11 17 16
"Automatic Banking Systems, Site",G206050,11 17 16
Automatic Book Storage and Retrieval Systems,E104010,11 51 13
Automatic Call Distributors,D602050,27 35 16
"Automatic Entrances, Exterior",B205010,08 42 29
"Automatic Entrances, Interior",C103020,08 42 29
Automatic Flagpoles,G206035,10 75 13
Available Project Information,3040,00 31 00
Aviation Fuel,,33 52 43
"Aviation Fuel Distribution, Site",G306060,33 52 43
"Aviation Fuel Grounding, Site",G306060,
"Aviation Fuel Piping, Site",G306060,
"Aviation Fuel Pumps, Site",G306060,
"Aviation Fuel Storage Tanks, Site",G306060,33 56 43
Aviation Pavement,G204010,32 10 00
Aviation Pavement Appurtenances,G204040,32 17 00
Aviation Pavement Curbs and Gutters,G204020,32 16 00
Awnings,B208030,10 73 13
"Backfill and Compaction, Substructure",A901010,31 23 23
"Backfill, Site",G107020,31 23 23.13
Backwater Valves,D202030,22 13 19.33
Baggage Handling Equipment,D105050,34 77 16
Baggers,E109040,11 93 29
Balanced Door Entrances,,08 42 36
Balanced Door Entrances Exterior,B205010,08 42 36
Balanced Door Entrances Interior,C103020,08 42 36
Balcony Floor Construction,B101030,
"Balcony Walls and Railings, Exterior",B208050,05 52 00
"Balcony Walls and Railings, Exterior",B208050,05 73 00
"Balcony Walls, Exterior",B208050,
Ballistics-Resistant Glazing,,08 88 56
Ballistics-Resistant Glazing Exterior Doors,B205040,08 88 56
Ballistics-Resistant Glazing Exterior Windows,B202050,08 88 56
Ballistics-Resistant Glazing Interior Doors,C103070,08 88 56
Ballistics-Resistant Glazing Interior Windows,C102050,08 88 56
Bank Casework,E201030,12 35 17
"Banking Equipment, Site",G206050,
Banners,C109090,10 83 00
Baptisteries,E104040,11 91 13
Bar Equipment,E103080,11 46 13
Barber and Beauty Shop Equipment,E103010,11 21 53
"Barricades, Temporary",Z105040,01 56 23
"Barriers and Enclosures, Temporary",Z105040,01 56 00
Base Courses ,,32 11 00
Base Courses Aviation Pavement,G204010,32 11 00
Base Courses Parking Lot,G202010,32 11 00
Base Courses Pedestrian Pavement,G203010,32 11 00
Base Courses Roadway,G201010,32 11 00
Baseball Field Surfacing,G205010,32 18 23.13
Base Flashing,B3010410,
Basement Excavation,A2010,
Basement Walls,A2020,
"Bases, Curbs & Trim",C3020600,
"Bath and Toilet Accessories, EACH,",C1030710,
"Bath and Toilet Accessories, LF",C1030730,
Bathtub Systems,D2010510,
Batteries,D501020,
Batteries Chargers,D501020,
Batteries Equipment,D501020,
Batteries Monitoring,D501020,
Batteries Racks,D501020,
Batteries Units,D501020,
"Beams, Grade",A102080,
Bedroom Furnishings,E205040,
Bells,E107020,
Below-Grade Egress Assemblies,B208090,
Bentonite Slurry Walls,A903070,
Bicycle Racks,G206025,
Bid Forms,305010,
Bidding Contingencies,Z905030,
Bidets,D201060,
Bidets Commercial,D201060,
Bidets Residential,D201060,
Biological Decontamination,G105025,
Biological Safety Cabinets,E104010,
Biomass Heat Generation,D302010,
Bio-Polymer Trench Drain,A903070,
Bioremediation Decontamination,G105025,
Bird Control Devices,B208080,
Bituminous Roadways Crushed Stone,G2010232,
Bituminous Sidewalks,G2030110,
Bleachers,E201070,
Bleachers Exterior,F102040,
Block Face Cavity Wall,B2010137,
Block Face Cavity Wall - Insulated Backup,B2010138,
Block Face Composite Wall,B2010139,
Board Paneling Ceilings,C205020,
Board Paneling Walls,C201020,
Boilers,D302010,
Boilers Fuel-Fired Heating,D302010,
"Boilers, Hot Water & Steam",D3020106,
Boliers Electric Heating,D302010,
Boliers Feedwater Pumps,D302010,
"Bollards, Metal",G206085,
Bonds Closeout Submittal,Z107070,
Bonds Fees,Z7070,
Bonds Forms,402010,
Book Depositories,E104010,
Book Theft Protection Equipment,E104010,
"Booths and Tables, Fixed",E201070,
Bored Piles,A102015,
"Boring Machine, Tunnel",G901090,
Bowling Alley Equipment,E107060,
Bracing and Anchoring,Z107020,
Branch Wiring System,D503010,
Branch Wiring System Lighting,D504020,
Breathing Air Replenishment Systems,D403050,
"Breechings, Chimneys, and Stacks",D302010,
Brick & Tile Plazas,G2030150,
Brick Face Cavity Wall,B2010134,
Brick Face Cavity Wall - Insulated Backup,B2010135,
Brick Face Composite Wall - Double Wythe,B2010132,
Brick Face Composite Wall - Triple Wythe,B2010133,
Brick Flooring,C203040,
Brick Masonary,,
Brick Unit Pavement,,
Brick Veneer/Metal Stud Backup,B2010130,
Brick Veneer/Wood Stud Backup,B2010129,
Bridges Demolition,F301050,
Bridges Site,G206070,
Bridges Temporary,Z105025,
Budget Construction Contingencies,208020,
Budget Design Contingencies,208010,
Budget Financing,2090,
"Budget Information, Project",304015,
Budget Project Contingencies,2080,
Budget Project Delays,208060,
Budget Unforeseen Subsurface Conditions,208040,
Building Demolition,F301010,
Building Envelope Access,D108050,
Building Excavation & Backfill,A2010110,
Building Illumination,G405050,
Building Modules,F101010,
Building Permits,202030,
BUILDING SITEWORK,G,
Building Subdrainage,A6010,
Building Support Plumbing,D2030,
Building Support Plumbing Supplementary Components,D203090,
Built-Up,B3010105,
"Bulkheads, Exterior",B308030,
Bumper Guards,C109035,
Bumpers,E101050,
"Bumpers, Loading Dock",E101050,
Bus Assemblies,D502030,
Cable Pressurization Equipment,G501030,
Cable Transportation,D103070,
Cable Trays,,
Cable Trays Branch Wiring,D503010,
Cable Trays Communications,D609010,
Cable Trays Electrical Distribution,D502030,
Cable Trays Electrical Service and Distribution,D502090,
Cable Trays General Purpose Power,D503090,
Cable Trays Lighting,D504090,
Cable Trays Lighting Branch Wiring,D504020,
Cable Trays Miscellaneous Electrical,D508090,
Caissons,A102020,
Caissons,A1020310,
Call Accounting,D602040,
Call Management,D602050,
Call Status and Management Displays,D602050,
Canopies,B1020310,
Canopies Construction,B102030,
Canopies Manufactured,F102060,
Canopies Roofing,B301070,
Canopies Support Truss Assemblies,B102030,
Capacitors,D501060,
Car Shelters,G206040,
Carbon-Dioxide Fire-Extinguishing,D401050,
Carbon-Monoxide Detection Sensors,D705010,
Carillons,E107020,
Carpeted Stair Finish,C204075,
Carpeting,C203075,
Casework,E201030,
Cash Allowances,Z101010,
Cash Registers and Checking Equipment,E103010,
Cast Floor Decks and Underlayment,B101020,
"Cast in Place Beam & Slab, One Way",B1010 219,
"Cast in Place Beam & Slab, Two Way",B1010 220,
Cast In Place Concrete,B2010101,
Cast in Place Flat Plate,B1010223,
Cast in Place Flat Slab with Drop Panels,B1010222,
Cast in Place Multispan Joist Slab,B1010226,
"Cast in Place Slabs, One Way",B1010 217,
Cast in Place Waf?e Slab,B1010227,
"Cast-In-Place, CIP Concrete",,
Cathodic Protection,D508040,
Cattle Guards,G206020,
"Catwalks, Metal",B108070,
Ceiling Finishes,C3030,
Ceilings Exterior,B308010,
Ceilings Finishes,C2050,
Ceilings Metal Furring,C205090,
Ceilings Paneling,C205020,
Ceilings Sound Isolation,C205090,
Ceilings Suspended Construction,C1070,
Ceilings Suspended Plaster and Gypsum Board,C107020,
Ceilings Suspension Components,C107090,
Ceilings Suspension Systems,C107090,
Ceilings Wood Furring,C205090,
Cellular Composite Deck,B1010260,
"Cellular Steel Deck, Double Span",B1020135,
"Cellular Steel Deck, Single Span",B1020134,
"Cellular Steel Deck, Triple Span",B1020136,
"Cement Plastering, Exterior Walls",B201010,
Cement Tunnel Grouting Pedestrian,G901020,
Cement Tunnel Grouting Service,G901040,
Cement Tunnel Grouting Vehicular,G901010,
Central A C Power (by Wattage),D5020140,
Central Battery Equipment,D501020,
Central Cooling,D303010,
Central Dimming Control,D504010,
Certificates,Z102050,
Certificates and Other Forms,40203,
Certifications,30505,
Chain Link Fences and Gates,G206020,
Chalkboards,C109020,
Change Order Requests,Z101060,
Change Orders,Z101060,
Checkout Procedures,Z107040,
Checkroom Equipment,E103010,
Chemical Decontamination,G105015,
Chemical Precipitation Decontamination,G105015,
Chemical Treatment Soil Stabilization,G107040,
Chemical Tunnel Grouting Pedestrian,G901020,
Chemical Tunnel Grouting Service,G901040,
Chemical Tunnel Grouting Vehicular,G901010,
Chemical-Resistant Flooring,C203030,
Chemical-Resistant Flooring Brick,C203030,
Chemical-Resistant Flooring Tiling,C203030,
Chemical-waste,,
Chemical-waste Healthcare,D206040,
Chemical-waste Laboratory,D206040,
Chemical-waste Systems,D2060.40,
Chemical-waste Tank,D206040,
Chilled Beams,,
Chilled Beams Cooling,D303070,
Chilled Beams Heating,D302070,
"Chilled Water, Air Cooled Condenser Systems",D3030110,
"Chilled Water, Cooling Tower Systems",D3030115,
Chilled-Water Thermal Storage,D303050,
"Chimney, Stainless Steel, Insulated, Wood & Oil",D3020315,
Chokes and Inductors,D501060,
Chutes,D105060,
Chutes,C109070,
CIP Column Round Tied,B1010201,
"CIP Column, Square Tied",B1010203,
"CIP Column, Square Tied-Minimum Reinforcing",B1010204,
"CIP Columns, Round Tied Minimum Reinforcing",B1010202,
CIP Concrete Column Piers,A101030,
CIP Concrete Columns Supporting Floors,B101010,
CIP Concrete Columns Supporting roofs,B102010,
CIP Concrete Balcony Construction,B101030,
CIP Concrete Canopy Construction,B102030,
CIP Concrete Continuous Footings,A101010,03 30 00
CIP Concrete Exterior Balcony Walls,B208050,03 30 00
CIP Concrete Exterior Wall Construction,B201020,03 30 00
"CIP Concrete Floor Decks, Slabs, and Toppings",B101020,03 30 00
CIP Concrete Floor Girders and Beams,B101010,03 30 00
CIP Concrete Foundation Walls,A101010,03 30 00
CIP Concrete Grade Beams,A102080,03 30 00
CIP Concrete Interior Partitions,C101010,03 30 00
CIP Concrete Mezzanine Construction,B101040,03 30 00
CIP Concrete Parapets,B201050,03 30 00
CIP Concrete Pile Caps,A102070,03 30 00
CIP Concrete Piles,A1020110,
CIP Concrete Pits and Bases,A4040,03 30 00
CIP Concrete Raft Foundations,A201060,03 30 00
CIP Concrete Ramps,B101050,03 30 00
CIP Concrete Retaining Walls,G206060,32 32 13
CIP Concrete Roof Decks and Slabs,B102020,03 30 00
CIP Concrete Roof Girders and Beams,B102010,03 30 00
CIP Concrete Shaft Lining,,31 75 13
CIP Concrete Shaft Lining Pedestrian Tunnels,G901020,31 75 13
CIP Concrete Shaft Lining Service Tunnels,G901040,31 75 13
CIP Concrete Shaft Lining Vehicular Tunnels,G901010,31 75 13
CIP Concrete Slab Trenches,A4030,03 30 00
CIP Concrete Spread Footings,A101030,03 30 00
CIP Concrete Stairs,B108010,03 30 00
CIP Concrete Standard Slabs-on-Grade,A4010,03 30 00
CIP Concrete Structural Slabs-on-Grade,A4020,03 30 00
CIP Concrete Subgrade Enclosure,A201010,03 30 00
CIP Concrete Tunnel Lining,,31 74 13
CIP Concrete Tunnel Lining Pedestrian,G901020,31 74 13
CIP Concrete Tunnel Lining Service,G901040,31 74 13
CIP Concrete Tunnel Lining Vehicular,G901010,31 74 13
"Circuit Breakers, Site Electrical",G401050,
Civil Engineers,203020,
Clarifications,4040,00 90 00
Clarifications Forms,402050,00 63 00
Clarifications Notices,Z101060,01 26 19
Classified Location Lighting,D504050,26 54 00
Classroom Furniture,E205030,12 56 33
Clean Rooms,F101050,13 21 13
Clean Rooms Special Procedures,Z102070,01 35 13.26
"Clean-Agent Fire-Extinguishing
Systems",D401050,M212200
"Cleaning and Disposal Equipment, Food Service",E103080,M114800
Cleaning and Waste Management,Z107030,M017400
"Cleaning, Lubrication, and Restoration Chemicals",G501030,M338253
Cleanouts Sanitary Drainage,D202030,M220576
Cleanouts Sewerage,G302050,M333923
Cleanouts Stormwater Drainage,D203020,M220576
Clearing and Grubbing,G101010,31 11 00
Climbing Walls,E107060,11 67 33
Clock Systems,D606050,27 53 13
"Clocks, Exterior",B208090,10 74 13
Closeout Documentation Sustainable Design,Z10707,
Closeout Forms,402070,00 65 00
Closeout Procedures,Z107060,01 77 00
Closeout Requirements,Z107060,01 77 19
Closeout Submittals,Z107070,01 78 00
Closet and Utility Shelving,C109070,10 57 33
Coagulation and Flocculation Decontamination,G105010,02 51 13
Coal Chutes,D105060,14 91 13
Coating Coaxial Communications Distribution Cabling,G501030,33 82 33
Coating Traffic Bearing,B304010,07 18 00
Coatings Roofing,B301050,
Codes,Z104010,01 41 13
Codes Analysis,103020,01 41 13
Codes Appeals and Variances,205070,
Codes Required Special Inspections and Procedures,Z104080,01 45 33
Codes Required Special Inspector Qualifications,Z104040,01 43 29
Cofferdams,A903020,31 52 00
"Coiling Counter Doors, Interior",A903020,08 33 13
Coiling Doors,,08 33 00
Coiling Doors Exterior,B205030,08 33 00
Coiling Doors Interior,C103040,08 33 00
Coiling Grilles,,08 33 00
Coiling Grilles Exterior,B205060,08 33 00
Coiling Grilles Interior,C104010,08 33 00
Coiling Partitions,C101050,10 22 36
Coin Operated Laundry Equipment,E103035,11 23 33
Cold Formed Metal,,05 40 00
Cold Formed Metal Floor,B101010,
Cold Formed Metal Floor Trusses,B101010,05 44 00
Cold Formed Metal Joists,B101010,05 42 00
Cold Formed Metal Roof,B102010,
Cold Formed Metal Roof Joists,B102010,05 42 00
Cold Formed Metal Roof Trusses,B102010,05 44 00
Cold Storage Doors,,08 34 13
Cold Storage Doors Exterior,B205040,08 34 13
Cold Storage Doors Interior,C103070,08 34 13
Cold Storage Rooms,F101050,13 21 26
Column Covers,,05 58 13
Column Covers Exterior,B208070,05 58 13
Column Covers Interior,C2020,05 58 13
Column Supporting Floors,B101010,
Column Supporting Roofs,B102010,
Columns Foundations,A101030,
Columns Piers,A101030,
Combination Emergency Fixture Units,D201060,22 45 33
Combined Dry-Pipe and Preaction Sprinkler Systems,D401010,21 13 23
Commercial Bldg Heating - Terminal Unit Heaters,D3010530,
Commercial Building Heating - Fin Tube Radiation,D3010520,
Commercial Dishwashers,E103080,11 48 13
Commercial Disposers,D201060,22 42 26
Commercial Equipment,E1030,11 20 00
Commercial Equipment,E1010,
Commercial Ironing Equipment,E103035,11 23 23
Commercial Kitchen Hoods,D306030,23 38 13
Commercial Laundry and Dry Cleaning Equipment,E103035,11 23 00
Commercial Ovens,E103080,11 44 16
Commercial Plumbing Fixtures,D201060,22 42 00
Commercial Ranges,E103080,11 44 13
Commercial Washers and Extractors,E103035,11 23 26
Commissioning,Z109010,01 91 00
Commissioning Agent,203030,
Common Product Requirements,Z106010,01 61 00
Common Work Results Common Work Results Electrical Lighting,D504090,26 05 00
Common Work Results Communications,D609010,27 05 00
Common Work Results Electrical,D50,26 00 00
Common Work Results Electrical Facility Power Generation,D501090,26 05 00
Common Work Results Electrical Service and Distribution,D502090,26 05 00
Common Work Results Electronic Safety and Security,D709010,27 05 00
Common Work Results Fire Suppression,D401090,21 05 00
Common Work Results HVAC,D30,23 00 00
Common Work Results HVAC Cooling System,D303090,23 05 00
Common Work Results HVAC Distribution Systems,D305090,23 05 00
Common Work Results HVAC Heating System,D302090,23 05 00
Common Work Results HVAC Ventilation,D306090,23 05 00
Common Work Results Integrated Automation,D801090,27 05 00
Common Work Results Miscellaneous Electrical,D508090,26 05 00
Common Work Results Plumbing,D20,22 00 00
Common Work Results Plumbing Building Support,D203090,22 05 00
Common Work Results Plumbing Domestic Water,D201090,22 05 00
Common Work Results Plumbing Process Support,D206090,22 05 00
Common Work Results Plumbing Sanitary Drainage,D202090,22 05 00
Common Work Results Utilities,G309010,03 05 00
Communication & Alarm Systems,D5030910,
"Communication Systems, Integrated Automation Control",D801070,25 57 00
Communications,D60,27 00 00
Communications and Security,D5030,
Communications Audio-Video,D6030,27 40 00
"Communications Blowers, Fans, and Ventilation",G501010,33 81 33
Communications Data,D6010,27 20 00
Communications Distributed,D6060,27 50 00
"Communications Distribution, Site",G501030,33 82 00
Communications Site,G50,
"Communications Structures, Site",G501010,33 81 00
Communications Supplementary Components,D609010,
"Communications Supplementary Components, Site",G6090,
Communications Systems,D606010,27 51 00
Communications Transmission Towers,G501010,33 81 13
Communications Utility Poles,G501010,33 81 19
Communications Voice,D6020,27 30 00
"Compaction, Site",G107020,31 23 23.23
Compartments and Cubicles,C109025,10 21 00
Completion and Correction List,Z107070,01 78 13
Composite Balcony Decking,B101030,06 73 00
Composite Beam & Cast in Place Slab,B1010252,
"Composite Beams, Deck & Slab",B1010256,
Composite Canopy Decking,B102030,06 73 00
Composite Exterior and Interior Doors,,08 16 00
Composite Exterior and Interior Windows,,08 54 00
Composite Exterior Fabrications,B208070,06 80 00
Composite Exterior Fixed Grilles and Screens,B208010,06 80 00
"Composite Fabrications, Interior",C2020,06 80 00
Composite Floor Decking,B101020,06 73 00
Composite Mezzanine Decking,B101040,06 73 00
"Composite Paneling, Ceilings",C205020,06 83 00
"Composite Paneling, Walls",C201020,06 83 00
"Composite Railings, Exterior Balcony",B208050,06 81 00
"Composite Railings, Interior",C109010,06 81 00
Composite Ramp Decking,B101050,06 73 00
Composite Roof Decking,B102020,06 73 00
Composite Stair Railings,B108050,06 81 00
Composition Stone Flooring,C203040,09 63 43
Composting Equipment,E109010,11 82 29
"Compressed Gases Storage Tanks, Site",G306010,33 56 53
Compressed-Air Equipment,D206010,22 61 19
Compressed-Air General Service,D2050,22 15 00
Compressed-Air Piping,D206010,22 61 13
Compressed-Air Systems,D206010,
"Compressed-Air Systems, Healthcare",D206010,22 61 00
"Compressed-Air Systems, Laboratory",D206010,22 61 00
Computer Room Cooling Units,D3050185,
Computer-Based Detention Monitoring and Control Systems,D707010,28 46 23
Computer-Room Air-Conditioners,D303070,23 81 23
"Computers, Office",E103075,11 28 13
Concrete Block Lintel,B2010144,
Concrete Block Partitions - Lightweight,C1010104,
Concrete Block Partitions - Regular Weight,C1010102,
Concrete Block Specialties,B2010145,
Concrete Block Wall - Lightweight,B2010110,
Concrete Block Wall - Regular Weight,B2010109,
Concrete Culverts,G303030,33 42 16
Concrete Sidewalks,G2030120,
Concrete Stair Forming,B108010,03 11 23
Concrete Unit Masonry,,04 22 00
Conditions of the Contract,4030,00 70 00
Conductive Flooring,C203030,
Conductive Flooring Resilient,C203030,09 65 33
Conductive Flooring Terrazzo,C203030,09 66 33
Conductive Flooring Tiling,C203030,09 33 00
Conductor Heads,B302070,
"Conductors and Cables, Electronic Safety and Security",D709010,28 05 13
"Conductors, Site Grounding",G401070,33 79 83
"Conduits and Back Boxes, Communications",D609010,27 05 33
Constant Temperature Rooms,F101050,13 21 29
Constructed Wetlands,G107070,32 71 00
Construction Aids,Z105030,01 54 00
Construction Change Directives,Z101060,01 26 46
Construction Contingencies,Z9050,01 21 16
"Construction Contingencies, Budget",208020,01 21 16
Construction Dewatering,A9020,31 23 19
"Construction Dewatering, Substructure",A9020,31 23 19
Construction Equipment Costs,Z107020,
Construction Facilities,Z105020,01 52 00
Construction Management,301010,
Construction Progress,Z102030,
Construction Progress Documentation,Z102030,01 32 00
Construction Progress Reporting,Z102030,01 32 26
Construction Progress Schedule,Z102030,01 32 26
Construction Temporary,Z105025,01 53 00
Construction Waste Management and Disposal,Z107030,01 74 19
Consultants,203030,
Consultants Sustainable Design,20303,
Containment Barriers,G107030,31 35 26
Contaminated Site Material Removal,G105060,02 60 00
Contaminated Site Special Procedures,Z102070,01 35 13.43
"Contingencies, Project, Budget",2080,
Contingency Allowances,Z101010,01 21 16
Continuous Footings,A101010,
Contract Modification Procedures,Z101060,01 26 00
Contracting Definitions,403010,00 71 00
Contracting Forms and Supplements,4010,00 50 00
Contracting Requirements,40,00 00 00
"Control House Equipment, Site Electrical",G401030,33 72 33
Controlled Environment Rooms,F101050,13 21 00
Convection Cooling Units,D303070,23 82 00
Convection Heating Units,D302070,23 82 00
Convectors,,23 82 33
Convectors Cooling,D303070,23 82 33
Convectors Heating,D302070,23 82 33
Converters Frequency,D501010,26 32 26
Converters Rotary,D501010,26 32 29
Converters Static Power,D501020,26 33 33
Converters Static-Frequency,D501060,26 35 42
